/home/minh.le4/RouterDC/venv/lib/python3.12/site-packages/transformers/convert_slow_tokenizer.py:558: UserWarning: The sentencepiece tokenizer that you are converting to a fast tokenizer uses the byte fallback option which is not implemented in the fast tokenizers. In practice this means that the fast version of the tokenizer can produce unknown tokens whereas the sentencepiece version would have converted these unknown tokens into a sequence of byte tokens matching the original piece of text.
  warnings.warn(
init_model, router_node size: ['codellama/CodeLlama-7b-Instruct-hf', 'codellama/CodeLlama-13b-Instruct-hf', 'deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct', 'Qwen/Qwen2.5-Coder-14B-Instruct', 'bigcode/starcoder2-15b-instruct-v0.1', 'Virtue-AI-HUB/VulnLLM-R-7B']
Training start!!!
step:0, loss:4.298277378082275                            
step:1, loss:4.300238609313965                                    
step:2, loss:4.070335388183594                                     
step:3, loss:3.8880631923675537                                    
step:4, loss:3.6512670516967773                                    
step:5, loss:3.7238776683807373                                    
step:6, loss:3.639970064163208                                     
step:7, loss:3.5413031578063965                                    
step:8, loss:3.269538402557373                                     
step:9, loss:3.369476795196533                                     
step:10, loss:3.0345845222473145                                     
step:11, loss:3.4028263092041016                                     
step:12, loss:3.3295600414276123                                     
step:13, loss:3.3658323287963867                                     
step:14, loss:3.416011333465576                                      
step:15, loss:3.5040464401245117                                     
step:16, loss:3.3958706855773926                                    
step:17, loss:3.2204201221466064                                     
step:18, loss:3.5256524085998535                                     
step:19, loss:3.1976711750030518                                     
step:20, loss:3.324972152709961                                      
step:21, loss:3.0347812175750732                                     
step:22, loss:3.332073211669922                                      
step:23, loss:3.140227794647217                                      
step:24, loss:3.255483865737915                                      
step:25, loss:3.2297987937927246                                     
step:26, loss:3.1374282836914062                                     
step:27, loss:3.412402629852295                                      
step:28, loss:3.2576136589050293                                     
step:29, loss:3.213228702545166                                      
step:30, loss:3.4023971557617188                                     
step:31, loss:3.2326810359954834                                     
step:32, loss:3.274723768234253                                      
step:33, loss:3.4132938385009766                                     
step:34, loss:3.322981119155884                                      
step:35, loss:3.3344016075134277                                     
step:36, loss:3.542433261871338                                      
step:37, loss:3.149343729019165                                      
step:38, loss:3.2045981884002686                                     
step:39, loss:3.1384198665618896                                     
step:40, loss:3.272754669189453                                      
step:41, loss:3.181148052215576                                      
step:42, loss:3.240581750869751                                      
step:43, loss:3.2396743297576904                                     
step:44, loss:3.3839430809020996                                     
step:45, loss:3.359576463699341                                      
step:46, loss:3.341886520385742                                      
step:47, loss:3.364274501800537                                      
step:48, loss:3.3279671669006348                                     
  5%|▍         | 49/1000 [01:30<28:45,  1.81s/it, step=48, loss=3.33]validation start
acc_./datasets/split2_primevul_cluster_gen/primevul_gen_train.json: 0.7314403568427574
acc 0.15696383248730963
test start
acc_./datasets/split2_primevul_gen/primevul_gen_test.json: 0.742672096791751
acc 0.16580310880829016
average testing 0.742672096791751
average training 0.7314403568427574
step:49, loss:3.306187152862549                                      
step:50, loss:3.290403366088867                                         
step:51, loss:3.2707114219665527                                        
step:52, loss:3.1716761589050293                                        
step:53, loss:3.1831350326538086                                       
step:54, loss:3.2680344581604004                                       
step:55, loss:3.1571176052093506                                       
step:56, loss:3.168210983276367                                        
step:57, loss:3.274686574935913                                        
step:58, loss:3.1268980503082275                                       
step:59, loss:3.243680477142334                                        
step:60, loss:3.2674307823181152                                       
step:61, loss:3.4639484882354736                                     
step:62, loss:3.2247862815856934                                     
step:63, loss:3.4279561042785645                                     
step:64, loss:3.370450496673584                                      
step:65, loss:3.2474751472473145                                     
step:66, loss:3.0183610916137695                                     
step:67, loss:3.240147590637207                                      
step:68, loss:3.171379566192627                                      
step:69, loss:3.549973487854004                                      
step:70, loss:3.2756762504577637                                     
step:71, loss:3.3043572902679443                                     
step:72, loss:3.3458681106567383                                     
step:73, loss:3.292727470397949                                      
step:74, loss:3.2920422554016113                                     
step:75, loss:3.156440258026123                                      
step:76, loss:3.4623031616210938                                     
step:77, loss:3.176347494125366                                      
step:78, loss:3.319200038909912                                      
step:79, loss:3.073370933532715                                      
step:80, loss:3.220705032348633                                      
step:81, loss:3.4458718299865723                                     
step:82, loss:3.3583884239196777                                     
step:83, loss:3.22517728805542                                       
step:84, loss:3.137509822845459                                      
step:85, loss:3.0912318229675293                                     
step:86, loss:3.0144455432891846                                     
step:87, loss:3.1979517936706543                                     
step:88, loss:3.285071849822998                                      
step:89, loss:3.180835723876953                                      
step:90, loss:3.3093862533569336                                     
step:91, loss:3.0693020820617676                                     
step:92, loss:3.036058187484741                                      
step:93, loss:3.1844823360443115                                     
step:94, loss:3.1966185569763184                                     
step:95, loss:3.021818161010742                                      
step:96, loss:3.2655630111694336                                     
step:97, loss:3.0661959648132324                                     
step:98, loss:3.1723811626434326                                     
 10%|▉         | 99/1000 [06:27<27:29,  1.83s/it, step=98, loss=3.17]validation start
acc_./datasets/split2_primevul_cluster_gen/primevul_gen_train.json: 0.7312024151008141
acc 0.15839149746192893
test start
acc_./datasets/split2_primevul_gen/primevul_gen_test.json: 0.7416728338782298
acc 0.16617320503330865
average testing 0.7416728338782298
average training 0.7312024151008141
step:99, loss:3.47580623626709                                       
step:100, loss:3.3408467769622803                                         
step:101, loss:3.225485324859619                                          
step:102, loss:3.109421730041504                                          
step:103, loss:3.1872878074645996                                        
step:104, loss:3.0998945236206055                                        
step:105, loss:3.1172258853912354                                        
step:106, loss:3.1120119094848633                                        
step:107, loss:3.129089117050171                                         
