/home/minh.le4/RouterDC/venv/lib/python3.12/site-packages/transformers/convert_slow_tokenizer.py:558: UserWarning: The sentencepiece tokenizer that you are converting to a fast tokenizer uses the byte fallback option which is not implemented in the fast tokenizers. In practice this means that the fast version of the tokenizer can produce unknown tokens whereas the sentencepiece version would have converted these unknown tokens into a sequence of byte tokens matching the original piece of text.
  warnings.warn(
init_model, router_node size: ['codellama/CodeLlama-7b-Instruct-hf', 'codellama/CodeLlama-13b-Instruct-hf', 'deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct', 'Qwen/Qwen2.5-Coder-14B-Instruct', 'bigcode/starcoder2-15b-instruct-v0.1', 'Virtue-AI-HUB/VulnLLM-R-7B']
Training start!!!
step:0, loss:2.4166641235351562                            
step:1, loss:2.5910911560058594                                    
step:2, loss:2.3901031017303467                                    
step:3, loss:2.129441738128662                                     
step:4, loss:2.304229497909546                                     
step:5, loss:2.1709208488464355                                    
step:6, loss:2.024249792098999                                     
step:7, loss:1.8851622343063354                                    
step:8, loss:1.965264081954956                                     
step:9, loss:2.107576370239258                                     
step:10, loss:2.0825657844543457                                     
step:11, loss:2.021139621734619                                      
step:12, loss:2.042487859725952                                      
step:13, loss:1.790878415107727                                      
step:14, loss:1.979546070098877                                      
step:15, loss:1.924778938293457                                      
step:16, loss:1.864330768585205                                      
step:17, loss:1.8001936674118042                                     
step:18, loss:1.8885732889175415                                     
step:19, loss:1.9235048294067383                                     
step:20, loss:1.9038771390914917                                     
step:21, loss:1.9688301086425781                                     
step:22, loss:2.0201919078826904                                     
step:23, loss:1.8285497426986694                                     
step:24, loss:2.0794930458068848                                     
step:25, loss:1.9396436214447021                                     
step:26, loss:1.9501972198486328                                     
step:27, loss:1.9928301572799683                                     
step:28, loss:1.9116325378417969                                     
step:29, loss:1.966405987739563                                      
step:30, loss:1.789018154144287                                      
step:31, loss:1.988713026046753                                      
step:32, loss:1.8685094118118286                                     
step:33, loss:1.9009063243865967                                     
step:34, loss:1.683932900428772                                      
step:35, loss:1.8689045906066895                                     
step:36, loss:1.876328945159912                                      
step:37, loss:1.6239862442016602                                     
step:38, loss:1.8929646015167236                                     
step:39, loss:1.8531699180603027                                     
step:40, loss:1.8738737106323242                                     
step:41, loss:1.866992473602295                                      
step:42, loss:2.064009666442871                                      
step:43, loss:1.9273930788040161                                     
step:44, loss:1.8881629705429077                                     
step:45, loss:2.0115606784820557                                     
step:46, loss:1.9369709491729736                                     
step:47, loss:1.9732483625411987                                     
step:48, loss:1.8261852264404297                                     
  5%|▍         | 49/1000 [01:30<28:49,  1.82s/it, step=48, loss=1.83]validation start
acc_./datasets/split2_primevul_cluster_choice/primevul_choice_train_choice.json: 0.48984771573604063
acc 0.27879124365482233
test start
acc_./datasets/split2_primevul_choice/primevul_choice_test.json: 0.48242042931162105
acc 0.2729459659511473
average testing 0.48242042931162105
average training 0.48984771573604063
step:49, loss:1.8563096523284912                                     
step:50, loss:1.8994499444961548                                        
step:51, loss:1.8984315395355225                                       
step:52, loss:1.7726033926010132                                       
step:53, loss:1.9421075582504272                                       
step:54, loss:1.7913508415222168                                       
